Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-10-17,St. Louis Blues,3,Chicago Blackhawks,2,SO,
2013-10-17,Detroit Red Wings,4,Colorado Avalanche,2,,
2013-10-17,San Jose Sharks,3,Dallas Stars,4,SO,
2013-10-17,Boston Bruins,3,Florida Panthers,2,,
2013-10-17,Columbus Blue Jackets,3,Montreal Canadiens,5,,
2013-10-17,Los Angeles Kings,2,Nashville Predators,1,SO,
2013-10-17,Edmonton Oilers,2,New York Islanders,3,,
2013-10-17,New Jersey Devils,2,Ottawa Senators,5,,
2013-10-17,Pittsburgh Penguins,4,Philadelphia Flyers,1,,
2013-10-17,Minnesota Wild,1,Tampa Bay Lightning,3,,
2013-10-17,Carolina Hurricanes,3,Toronto Maple Leafs,2,,
2013-10-18,Phoenix Coyotes,2,Anaheim Ducks,3,SO,
2013-10-18,St. Louis Blues,3,Winnipeg Jets,4,SO,
2013-10-19,Colorado Avalanche,4,Buffalo Sabres,2,,
2013-10-19,Toronto Maple Leafs,1,Chicago Blackhawks,3,,
2013-10-19,Minnesota Wild,1,Florida Panthers,2,SO,
2013-10-19,Dallas Stars,2,Los Angeles Kings,5,,
2013-10-19,Nashville Predators,2,Montreal Canadiens,1,,
2013-10-19,New York Rangers,0,New Jersey Devils,4,,
2013-10-19,Carolina Hurricanes,4,New York Islanders,3,,
2013-10-19,Edmonton Oilers,3,Ottawa Senators,1,,
2013-10-19,Detroit Red Wings,2,Phoenix Coyotes,5,,
2013-10-19,Vancouver Canucks,3,Pittsburgh Penguins,4,SO,
2013-10-19,Calgary Flames,3,San Jose Sharks,6,,
2013-10-19,Boston Bruins,5,Tampa Bay Lightning,0,,
2013-10-19,Columbus Blue Jackets,1,Washington Capitals,4,,
2013-10-20,Dallas Stars,3,Anaheim Ducks,6,,
2013-10-20,Vancouver Canucks,1,Columbus Blue Jackets,3,,
2013-10-20,Nashville Predators,3,Winnipeg Jets,1,,
2013-10-21,San Jose Sharks,1,Detroit Red Wings,0,SO,
2013-10-21,Calgary Flames,3,Los Angeles Kings,2,,
2013-10-21,Colorado Avalanche,1,Pittsburgh Penguins,0,,
2013-10-22,New Jersey Devils,1,Columbus Blue Jackets,4,,
2013-10-22,Chicago Blackhawks,3,Florida Panthers,2,SO,
2013-10-22,Nashville Predators,0,Minnesota Wild,2,,
2013-10-22,Edmonton Oilers,4,Montreal Canadiens,3,,
2013-10-22,Vancouver Canucks,5,New York Islanders,4,OT,
2013-10-22,Calgary Flames,2,Phoenix Coyotes,4,,
2013-10-22,Anaheim Ducks,2,Toronto Maple Leafs,4,,
2013-10-22,Washington Capitals,5,Winnipeg Jets,4,SO,
2013-10-23,Boston Bruins,5,Buffalo Sabres,2,,
2013-10-23,Ottawa Senators,6,Detroit Red Wings,1,,
2013-10-24,San Jose Sharks,1,Boston Bruins,2,,
2013-10-24,Calgary Flames,1,Dallas Stars,5,,
2013-10-24,Washington Capitals,4,Edmonton Oilers,1,,
2013-10-24,Phoenix Coyotes,4,Los Angeles Kings,7,,
2013-10-24,Carolina Hurricanes,1,Minnesota Wild,3,,
2013-10-24,Anaheim Ducks,1,Montreal Canadiens,4,,
2013-10-24,Vancouver Canucks,3,New Jersey Devils,2,SO,
