Source: http://www.hockey-reference.com/leagues/NHL_2014_games.html
Date,Visitor,G,Home,G,,Notes
2013-12-04,Philadelphia Flyers,6,Detroit Red Wings,3,,
2013-12-04,Montreal Canadiens,4,New Jersey Devils,3,SO,
2013-12-05,New York Rangers,3,Buffalo Sabres,1,,
2013-12-05,Colorado Avalanche,2,Edmonton Oilers,8,,
2013-12-05,Winnipeg Jets,2,Florida Panthers,5,,
2013-12-05,Chicago Blackhawks,3,Minnesota Wild,4,,
2013-12-05,Boston Bruins,1,Montreal Canadiens,2,,
2013-12-05,Carolina Hurricanes,5,Nashville Predators,2,,
2013-12-05,San Jose Sharks,1,Pittsburgh Penguins,5,,
2013-12-05,New York Islanders,1,St. Louis Blues,5,,
2013-12-05,Ottawa Senators,1,Tampa Bay Lightning,3,,
2013-12-05,Dallas Stars,2,Toronto Maple Leafs,3,OT,
2013-12-06,San Jose Sharks,3,Carolina Hurricanes,5,,
2013-12-06,Minnesota Wild,0,Columbus Blue Jackets,4,,
2013-12-06,Colorado Avalanche,3,Calgary Flames,2,,
2013-12-06,Anaheim Ducks,3,Chicago Blackhawks,2,SO,
2013-12-06,Detroit Red Wings,3,New Jersey Devils,1,,
2013-12-06,Phoenix Coyotes,2,Vancouver Canucks,3,OT,
2013-12-07,Pittsburgh Penguins,2,Boston Bruins,3,,
2013-12-07,Philadelphia Flyers,1,Dallas Stars,5,,
2013-12-07,Florida Panthers,2,Detroit Red Wings,1,,
2013-12-07,Calgary Flames,2,Edmonton Oilers,1,OT,
2013-12-07,New York Islanders,0,Los Angeles Kings,3,,
2013-12-07,Buffalo Sabres,2,Montreal Canadiens,3,,
2013-12-07,New Jersey Devils,4,New York Rangers,3,OT,
2013-12-07,Toronto Maple Leafs,4,Ottawa Senators,3,SO,
2013-12-07,Anaheim Ducks,5,St. Louis Blues,2,,
2013-12-07,Winnipeg Jets,2,Tampa Bay Lightning,1,OT,
2013-12-07,Nashville Predators,2,Washington Capitals,5,,
2013-12-08,Florida Panthers,2,Chicago Blackhawks,6,,
2013-12-08,San Jose Sharks,1,Minnesota Wild,3,,
2013-12-08,Washington Capitals,4,New York Rangers,1,,
2013-12-08,Boston Bruins,5,Toronto Maple Leafs,2,,
2013-12-08,Colorado Avalanche,1,Vancouver Canucks,3,,
2013-12-09,New York Islanders,2,Anaheim Ducks,5,,
2013-12-09,Philadelphia Flyers,4,Ottawa Senators,5,SO,
2013-12-09,Columbus Blue Jackets,1,Pittsburgh Penguins,2,,
2013-12-09,Carolina Hurricanes,0,Vancouver Canucks,2,,
2013-12-10,Ottawa Senators,1,Buffalo Sabres,2,SO,
2013-12-10,New Jersey Devils,4,Columbus Blue Jackets,5,,
2013-12-10,Boston Bruins,2,Calgary Flames,1,,
2013-12-10,Phoenix Coyotes,3,Colorado Avalanche,1,,
2013-12-10,Chicago Blackhawks,6,Dallas Stars,2,,
2013-12-10,Carolina Hurricanes,4,Edmonton Oilers,5,OT,
2013-12-10,Detroit Red Wings,2,Florida Panthers,3,SO,
2013-12-10,Los Angeles Kings,6,Montreal Canadiens,0,,
2013-12-10,Nashville Predators,4,New York Rangers,1,,
2013-12-10,New York Islanders,3,San Jose Sharks,2,SO,
2013-12-10,St. Louis Blues,2,Winnipeg Jets,1,,
2013-12-10,Tampa Bay Lightning,5,Washington Capitals,6,SO,
2013-12-11,Minnesota Wild,1,Anaheim Ducks,2,,
2013-12-11,Philadelphia Flyers,2,Chicago Blackhawks,7,,
2013-12-11,Los Angeles Kings,3,Toronto Maple Leafs,1,,
2013-12-12,Carolina Hurricanes,1,Calgary Flames,2,OT,
2013-12-12,Boston Bruins,4,Edmonton Oilers,2,,
2013-12-12,Dallas Stars,1,Nashville Predators,3,,
2013-12-12,Columbus Blue Jackets,4,New York Rangers,2,,
2013-12-12,Buffalo Sabres,1,Ottawa Senators,2,,
2013-12-12,Montreal Canadiens,1,Philadelphia Flyers,2,,
2013-12-12,New York Islanders,3,Phoenix Coyotes,6,,
2013-12-12,Minnesota Wild,1,San Jose Sharks,3,,
2013-12-12,Toronto Maple Leafs,3,St. Louis Blues,6,,
2013-12-12,Detroit Red Wings,1,Tampa Bay Lightning,2,SO,
2013-12-12,Colorado Avalanche,4,Winnipeg Jets,3,SO,
2013-12-13,Washington Capitals,2,Florida Panthers,3,SO,
2013-12-13,New Jersey Devils,2,Pittsburgh Penguins,3,,
2013-12-13,Edmonton Oilers,0,Vancouver Canucks,4,,
2013-12-14,Calgary Flames,2,Buffalo Sabres,1,OT,
2013-12-14,St. Louis Blues,4,Columbus Blue Jackets,3,OT,
2013-12-14,Minnesota Wild,2,Colorado Avalanche,1,SO,
2013-12-14,Pittsburgh Penguins,4,Detroit Red Wings,1,,
2013-12-14,Tampa Bay Lightning,0,New Jersey Devils,3,,
2013-12-14,San Jose Sharks,2,Nashville Predators,3,,
2013-12-14,Montreal Canadiens,1,New York Islanders,0,OT,
2013-12-14,Los Angeles Kings,5,Ottawa Senators,2,,
2013-12-14,Carolina Hurricanes,3,Phoenix Coyotes,1,,
2013-12-14,Chicago Blackhawks,3,Toronto Maple Leafs,7,,
2013-12-14,Boston Bruins,2,Vancouver Canucks,6,,
2013-12-14,Dallas Stars,6,Winnipeg Jets,4,,
2013-12-15,Edmonton Oilers,2,Anaheim Ducks,3,,
2013-12-15,Los Angeles Kings,1,Chicago Blackhawks,3,,
2013-12-15,Tampa Bay Lightning,3,Detroit Red Wings,0,,
2013-12-15,Florida Panthers,2,Montreal Canadiens,1,,
2013-12-15,Calgary Flames,3,New York Rangers,4,SO,
2013-12-15,Philadelphia Flyers,4,Washington Capitals,5,SO,
2013-12-16,Winnipeg Jets,3,Columbus Blue Jackets,2,,
2013-12-16,Dallas Stars,2,Colorado Avalanche,6,,
2013-12-16,St. Louis Blues,2,Ottawa Senators,3,OT,
2013-12-16,Toronto Maple Leafs,1,Pittsburgh Penguins,3,,
2013-12-17,Calgary Flames,0,Boston Bruins,2,,
2013-12-17,Winnipeg Jets,2,Buffalo Sabres,4,,
2013-12-17,Colorado Avalanche,2,Dallas Stars,3,,
2013-12-17,Anaheim Ducks,5,Detroit Red Wings,2,,
2013-12-17,Edmonton Oilers,0,Los Angeles Kings,3,,
2013-12-17,Vancouver Canucks,2,Minnesota Wild,3,SO,
2013-12-17,Phoenix Coyotes,1,Montreal Canadiens,3,,
2013-12-17,Chicago Blackhawks,3,Nashville Predators,1,,
2013-12-17,Tampa Bay Lightning,3,New York Islanders,2,SO,
2013-12-17,Washington Capitals,2,Philadelphia Flyers,5,,
2013-12-17,San Jose Sharks,4,St. Louis Blues,2,,
2013-12-17,Florida Panthers,3,Toronto Maple Leafs,1,,
2013-12-18,Ottawa Senators,2,New Jersey Devils,5,,
2013-12-18,Pittsburgh Penguins,4,New York Rangers,3,SO,
2013-12-19,Boston Bruins,2,Buffalo Sabres,4,,
2013-12-19,Edmonton Oilers,2,Colorado Avalanche,4,,
2013-12-19,Vancouver Canucks,1,Dallas Stars,4,,
2013-12-19,Calgary Flames,2,Detroit Red Wings,3,OT,
2013-12-19,San Jose Sharks,1,Los Angeles Kings,4,,
2013-12-19,Florida Panthers,4,Ottawa Senators,2,,
2013-12-19,Columbus Blue Jackets,4,Philadelphia Flyers,5,,
2013-12-19,Minnesota Wild,2,Pittsburgh Penguins,5,,
2013-12-19,Montreal Canadiens,1,St. Louis Blues,5,,
2013-12-19,Nashville Predators,2,Tampa Bay Lightning,4,,
2013-12-19,Phoenix Coyotes,1,Toronto Maple Leafs,2,SO,
2013-12-20,Washington Capitals,4,Carolina Hurricanes,2,,
2013-12-20,Vancouver Canucks,3,Chicago Blackhawks,2,SO,
2013-12-20,Anaheim Ducks,3,New Jersey Devils,2,OT,
2013-12-20,New York Islanders,5,New York Rangers,3,,
2013-12-20,Florida Panthers,2,Winnipeg Jets,5,,
2013-12-21,Buffalo Sabres,1,Boston Bruins,4,,
2013-12-21,Philadelphia Flyers,3,Columbus Blue Jackets,6,,
2013-12-21,St. Louis Blues,6,Edmonton Oilers,0,,
2013-12-21,Colorado Avalanche,2,Los Angeles Kings,3,SO,
2013-12-21,Montreal Canadiens,4,Nashville Predators,3,OT,
2013-12-21,Anaheim Ducks,5,New York Islanders,3,,
2013-12-21,Phoenix Coyotes,4,Ottawa Senators,3,OT,
2013-12-21,Calgary Flames,3,Pittsburgh Penguins,4,,
2013-12-21,Dallas Stars,2,San Jose Sharks,3,SO,
2013-12-21,Carolina Hurricanes,2,Tampa Bay Lightning,3,OT,
2013-12-21,Detroit Red Wings,5,Toronto Maple Leafs,4,SO,
2013-12-21,New Jersey Devils,5,Washington Capitals,4,OT,
2013-12-22,Minnesota Wild,1,New York Rangers,4,,
2013-12-22,Winnipeg Jets,1,Vancouver Canucks,2,,
2013-12-23,Phoenix Coyotes,1,Buffalo Sabres,2,OT,
2013-12-23,Columbus Blue Jackets,4,Carolina Hurricanes,3,,
2013-12-23,St. Louis Blues,3,Calgary Flames,4,SO,
2013-12-23,New Jersey Devils,2,Chicago Blackhawks,5,,
2013-12-23,New York Islanders,3,Detroit Red Wings,0,,
2013-12-23,Winnipeg Jets,2,Edmonton Oilers,6,,
2013-12-23,Tampa Bay Lightning,6,Florida Panthers,1,,
2013-12-23,Dallas Stars,5,Los Angeles Kings,2,,
2013-12-23,Boston Bruins,6,Nashville Predators,2,,
2013-12-23,Toronto Maple Leafs,1,New York Rangers,2,SO,
2013-12-23,Pittsburgh Penguins,0,Ottawa Senators,5,,
2013-12-23,Minnesota Wild,1,Philadelphia Flyers,4,,
2013-12-23,Colorado Avalanche,4,San Jose Sharks,5,SO,
2013-12-23,Anaheim Ducks,3,Washington Capitals,2,,
2013-12-27,Ottawa Senators,0,Boston Bruins,5,,
2013-12-27,Pittsburgh Penguins,4,Carolina Hurricanes,3,OT,
2013-12-27,Edmonton Oilers,2,Calgary Flames,0,,
2013-12-27,Colorado Avalanche,2,Chicago Blackhawks,7,,
2013-12-27,Nashville Predators,1,Dallas Stars,4,,
2013-12-27,Columbus Blue Jackets,2,New Jersey Devils,1,SO,
2013-12-27,San Jose Sharks,4,Phoenix Coyotes,3,SO,
2013-12-27,Buffalo Sabres,3,Toronto Maple Leafs,4,SO,
2013-12-27,Minnesota Wild,4,Winnipeg Jets,6,,
2013-12-27,New York Rangers,2,Washington Capitals,3,,
2013-12-28,Phoenix Coyotes,2,Anaheim Ducks,3,OT,
2013-12-28,Philadelphia Flyers,4,Edmonton Oilers,3,SO,
2013-12-28,Detroit Red Wings,4,Florida Panthers,3,,
2013-12-28,Los Angeles Kings,2,Nashville Predators,3,,
2013-12-28,New Jersey Devils,2,New York Islanders,1,,
2013-12-28,Boston Bruins,3,Ottawa Senators,4,,
2013-12-28,Chicago Blackhawks,5,St. Louis Blues,6,SO,
2013-12-28,Montreal Canadiens,2,Tampa Bay Lightning,1,SO,
2013-12-29,Washington Capitals,1,Buffalo Sabres,2,SO,
2013-12-29,Pittsburgh Penguins,5,Columbus Blue Jackets,3,,
2013-12-29,Vancouver Canucks,2,Calgary Flames,0,,
2013-12-29,Winnipeg Jets,2,Colorado Avalanche,1,OT,
2013-12-29,St. Louis Blues,3,Dallas Stars,2,OT,
2013-12-29,Montreal Canadiens,1,Florida Panthers,4,,
2013-12-29,New York Islanders,5,Minnesota Wild,4,,
2013-12-29,Anaheim Ducks,1,San Jose Sharks,3,,
2013-12-29,New York Rangers,4,Tampa Bay Lightning,3,,
2013-12-29,Carolina Hurricanes,2,Toronto Maple Leafs,5,,
2013-12-30,Los Angeles Kings,0,Chicago Blackhawks,1,,
2013-12-30,Detroit Red Wings,4,Nashville Predators,6,,
2013-12-30,Washington Capitals,1,Ottawa Senators,3,,
2013-12-30,Philadelphia Flyers,4,Vancouver Canucks,3,SO,
2013-12-31,San Jose Sharks,3,Anaheim Ducks,6,,
2013-12-31,New York Islanders,5,Boston Bruins,3,,
2013-12-31,Montreal Canadiens,4,Carolina Hurricanes,5,OT,
2013-12-31,Philadelphia Flyers,4,Calgary Flames,1,,
2013-12-31,Columbus Blue Jackets,3,Colorado Avalanche,5,,
2013-12-31,Los Angeles Kings,2,Dallas Stars,3,,
2013-12-31,New York Rangers,2,Florida Panthers,1,SO,
2013-12-31,St. Louis Blues,2,Minnesota Wild,1,,
2013-12-31,Pittsburgh Penguins,1,New Jersey Devils,2,,
2013-12-31,Edmonton Oilers,3,Phoenix Coyotes,4,OT,
2013-12-31,Buffalo Sabres,0,Winnipeg Jets,3,,
2014-01-01,Toronto Maple Leafs,3,Detroit Red Wings,2,SO,NHL Winter Classic
2014-01-01,Tampa Bay Lightning,4,Vancouver Canucks,2,,
2014-01-02,Nashville Predators,2,Boston Bruins,3,OT,
2014-01-02,Philadelphia Flyers,1,Colorado Avalanche,2,,
2014-01-02,Montreal Canadiens,6,Dallas Stars,4,,
2014-01-02,Buffalo Sabres,1,Minnesota Wild,4,,
2014-01-02,Chicago Blackhawks,2,New York Islanders,3,OT,
2014-01-02,Winnipeg Jets,3,Ottawa Senators,4,,
2014-01-02,Columbus Blue Jackets,2,Phoenix Coyotes,0,,
2014-01-02,Edmonton Oilers,1,San Jose Sharks,5,,
2014-01-02,Los Angeles Kings,0,St. Louis Blues,5,,
2014-01-02,Carolina Hurricanes,4,Washington Capitals,3,OT,
2014-01-03,Edmonton Oilers,2,Anaheim Ducks,5,,
2014-01-03,Tampa Bay Lightning,2,Calgary Flames,0,,
2014-01-03,Chicago Blackhawks,5,New Jersey Devils,3,,
2014-01-03,New York Rangers,2,Pittsburgh Penguins,5,,
2014-01-04,Winnipeg Jets,1,Boston Bruins,4,,
2014-01-04,New Jersey Devils,1,Buffalo Sabres,2,,
2014-01-04,San Jose Sharks,3,Colorado Avalanche,4,,
2014-01-04,Detroit Red Wings,5,Dallas Stars,1,,
2014-01-04,Nashville Predators,4,Florida Panthers,5,SO,
2014-01-04,Vancouver Canucks,1,Los Angeles Kings,3,,
2014-01-04,Washington Capitals,3,Minnesota Wild,5,,
2014-01-04,Ottawa Senators,4,Montreal Canadiens,3,OT,
2014-01-04,Carolina Hurricanes,3,New York Islanders,2,,
2014-01-04,Philadelphia Flyers,5,Phoenix Coyotes,3,,
2014-01-04,Columbus Blue Jackets,2,St. Louis Blues,6,,
2014-01-04,New York Rangers,7,Toronto Maple Leafs,1,,
2014-01-05,Vancouver Canucks,3,Anaheim Ducks,4,OT,
2014-01-05,Nashville Predators,1,Carolina Hurricanes,2,,
2014-01-05,San Jose Sharks,3,Chicago Blackhawks,2,SO,
2014-01-05,Tampa Bay Lightning,3,Edmonton Oilers,5,,
2014-01-05,Winnipeg Jets,5,Pittsburgh Penguins,6,,
2014-01-06,Calgary Flames,4,Colorado Avalanche,3,,
2014-01-06,Florida Panthers,1,Montreal Canadiens,2,,
2014-01-06,Dallas Stars,3,New York Islanders,7,,
2014-01-06,Columbus Blue Jackets,4,New York Rangers,3,SO,
2014-01-07,Boston Bruins,2,Anaheim Ducks,5,,
2014-01-07,Carolina Hurricanes,,Buffalo Sabres,,,Postponed due to blizzard until 2014-02-25
2014-01-07,St. Louis Blues,5,Edmonton Oilers,2,,
2014-01-07,Minnesota Wild,2,Los Angeles Kings,1,SO,
2014-01-07,Philadelphia Flyers,3,New Jersey Devils,2,OT,
2014-01-07,San Jose Sharks,2,Nashville Predators,3,,
2014-01-07,Calgary Flames,0,Phoenix Coyotes,6,,
2014-01-07,New York Islanders,5,Toronto Maple Leafs,3,,
2014-01-07,Pittsburgh Penguins,5,Vancouver Canucks,4,SO,
2014-01-07,Tampa Bay Lightning,4,Winnipeg Jets,2,,
2014-01-08,New York Rangers,3,Chicago Blackhawks,2,,
2014-01-08,Ottawa Senators,3,Colorado Avalanche,4,OT,
2014-01-08,Montreal Canadiens,1,Philadelphia Flyers,3,,
2014-01-09,Florida Panthers,2,Buffalo Sabres,1,SO,
2014-01-09,Toronto Maple Leafs,1,Carolina Hurricanes,6,,
2014-01-09,St. Louis Blues,5,Calgary Flames,0,,
2014-01-09,Boston Bruins,2,Los Angeles Kings,4,,
2014-01-09,Dallas Stars,0,New Jersey Devils,1,,
2014-01-09,Anaheim Ducks,4,Nashville Predators,3,,
2014-01-09,Minnesota Wild,4,Phoenix Coyotes,1,,
2014-01-09,Detroit Red Wings,1,San Jose Sharks,4,,
2014-01-09,Washington Capitals,4,Tampa Bay Lightning,3,,
2014-01-10,Carolina Hurricanes,0,Columbus Blue Jackets,3,,
2014-01-10,New York Islanders,2,Colorado Avalanche,1,OT,
2014-01-10,Pittsburgh Penguins,3,Edmonton Oilers,4,OT,
2014-01-10,Dallas Stars,2,New York Rangers,3,,
2014-01-10,St. Louis Blues,1,Vancouver Canucks,2,,
2014-01-10,Toronto Maple Leafs,2,Washington Capitals,3,,
2014-01-11,Pittsburgh Penguins,2,Calgary Flames,1,,
2014-01-11,Detroit Red Wings,3,Los Angeles Kings,1,,
2014-01-11,Colorado Avalanche,4,Minnesota Wild,2,,
2014-01-11,Chicago Blackhawks,1,Montreal Canadiens,2,OT,
2014-01-11,Florida Panthers,1,New Jersey Devils,2,OT,
2014-01-11,Ottawa Senators,2,Nashville Predators,1,SO,
2014-01-11,Tampa Bay Lightning,6,Philadelphia Flyers,3,,
2014-01-11,Anaheim Ducks,5,Phoenix Coyotes,3,,
2014-01-11,Boston Bruins,1,San Jose Sharks,0,,
2014-01-11,Columbus Blue Jackets,6,Winnipeg Jets,3,,
2014-01-12,Detroit Red Wings,0,Anaheim Ducks,1,,
2014-01-12,Edmonton Oilers,3,Chicago Blackhawks,5,,
2014-01-12,New York Islanders,4,Dallas Stars,2,,
2014-01-12,Minnesota Wild,4,Nashville Predators,0,,
2014-01-12,Philadelphia Flyers,1,New York Rangers,4,,
2014-01-12,New Jersey Devils,2,Toronto Maple Leafs,3,SO,
2014-01-12,Buffalo Sabres,2,Washington Capitals,1,SO,
2014-01-13,Calgary Flames,2,Carolina Hurricanes,0,,
2014-01-13,Tampa Bay Lightning,2,Columbus Blue Jackets,3,,
2014-01-13,Vancouver Canucks,0,Los Angeles Kings,1,,
2014-01-13,Phoenix Coyotes,1,Winnipeg Jets,5,,
2014-01-14,Toronto Maple Leafs,4,Boston Bruins,3,,
2014-01-14,Philadelphia Flyers,4,Buffalo Sabres,3,,
2014-01-14,Colorado Avalanche,3,Chicago Blackhawks,2,OT,
2014-01-14,Edmonton Oilers,2,Dallas Stars,5,,
2014-01-14,New York Islanders,2,Florida Panthers,4,,
2014-01-14,Ottawa Senators,3,Minnesota Wild,0,,
2014-01-14,New Jersey Devils,4,Montreal Canadiens,1,,
2014-01-14,Calgary Flames,2,Nashville Predators,4,,
2014-01-14,Tampa Bay Lightning,2,New York Rangers,1,,
2014-01-14,Phoenix Coyotes,1,St. Louis Blues,2,,
2014-01-14,San Jose Sharks,2,Washington Capitals,1,SO,
2014-01-15,Vancouver Canucks,1,Anaheim Ducks,9,,
2014-01-15,Washington Capitals,3,Pittsburgh Penguins,4,,
2014-01-15,Buffalo Sabres,3,Toronto Maple Leafs,4,SO,
2014-01-16,Winnipeg Jets,5,Calgary Flames,2,,
2014-01-16,New Jersey Devils,1,Colorado Avalanche,2,SO,
2014-01-16,Boston Bruins,4,Dallas Stars,2,,
2014-01-16,San Jose Sharks,3,Florida Panthers,0,,
2014-01-16,Edmonton Oilers,1,Minnesota Wild,4,,
2014-01-16,Detroit Red Wings,0,New York Rangers,1,,
2014-01-16,Montreal Canadiens,5,Ottawa Senators,4,OT,
2014-01-16,Nashville Predators,4,Philadelphia Flyers,3,SO,
2014-01-16,Vancouver Canucks,0,Phoenix Coyotes,1,,
2014-01-16,Los Angeles Kings,4,St. Louis Blues,1,,
2014-01-16,New York Islanders,2,Tampa Bay Lightning,1,SO,
2014-01-17,Washington Capitals,1,Columbus Blue Jackets,5,,
2014-01-17,Anaheim Ducks,2,Chicago Blackhawks,4,,
2014-01-18,Columbus Blue Jackets,4,Buffalo Sabres,3,SO,
2014-01-18,Florida Panthers,2,Carolina Hurricanes,3,,
2014-01-18,Los Angeles Kings,2,Detroit Red Wings,3,SO,
2014-01-18,Dallas Stars,2,Minnesota Wild,3,OT,
2014-01-18,Colorado Avalanche,5,Nashville Predators,4,,
2014-01-18,New York Rangers,4,Ottawa Senators,1,,
2014-01-18,New York Islanders,4,Philadelphia Flyers,6,,
2014-01-18,New Jersey Devils,2,Phoenix Coyotes,3,,
2014-01-18,Anaheim Ducks,3,St. Louis Blues,2,,
2014-01-18,San Jose Sharks,5,Tampa Bay Lightning,4,,
2014-01-18,Montreal Canadiens,3,Toronto Maple Leafs,5,,
2014-01-18,Calgary Flames,2,Vancouver Canucks,3,SO,
2014-01-18,Edmonton Oilers,2,Winnipeg Jets,3,OT,
2014-01-19,Tampa Bay Lightning,5,Carolina Hurricanes,3,,
2014-01-19,Boston Bruins,2,Chicago Blackhawks,3,SO,
2014-01-19,Washington Capitals,1,New York Rangers,4,,
2014-01-20,Los Angeles Kings,2,Boston Bruins,3,,
2014-01-20,St. Louis Blues,4,Detroit Red Wings,1,,
2014-01-20,Dallas Stars,1,Nashville Predators,4,,
2014-01-20,Philadelphia Flyers,3,New York Islanders,4,SO,
2014-01-20,Toronto Maple Leafs,4,Phoenix Coyotes,2,,
2014-01-20,Florida Panthers,5,Pittsburgh Penguins,1,,
2014-01-20,Calgary Flames,2,San Jose Sharks,3,,
2014-01-21,Winnipeg Jets,3,Anaheim Ducks,2,,
2014-01-21,Florida Panthers,4,Buffalo Sabres,3,,
2014-01-21,Los Angeles Kings,3,Columbus Blue Jackets,5,,
2014-01-21,Toronto Maple Leafs,5,Colorado Avalanche,2,,
2014-01-21,Minnesota Wild,0,Dallas Stars,4,,
2014-01-21,Vancouver Canucks,2,Edmonton Oilers,1,,
2014-01-21,St. Louis Blues,1,New Jersey Devils,7,,
2014-01-21,New York Islanders,5,New York Rangers,3,,
2014-01-21,Carolina Hurricanes,,Philadelphia Flyers,,,Postponed due to snowstorm until 2014-01-22
2014-01-21,Ottawa Senators,2,Washington Capitals,0,,
2014-01-22,Phoenix Coyotes,2,Calgary Flames,3,,
2014-01-22,Chicago Blackhawks,4,Detroit Red Wings,5,SO,
2014-01-22,Carolina Hurricanes,3,Philadelphia Flyers,2,,Make-up game for snowstorm 2014-01-21
2014-01-22,Montreal Canadiens,1,Pittsburgh Penguins,5,,
2014-01-23,Los Angeles Kings,1,Anaheim Ducks,2,,
2014-01-23,Carolina Hurricanes,5,Buffalo Sabres,3,,
2014-01-23,Philadelphia Flyers,2,Columbus Blue Jackets,5,,
2014-01-23,Toronto Maple Leafs,1,Dallas Stars,7,,
2014-01-23,Chicago Blackhawks,1,Minnesota Wild,2,,
2014-01-23,Pittsburgh Penguins,6,New York Islanders,4,,
2014-01-23,St. Louis Blues,2,New York Rangers,1,,
2014-01-23,Winnipeg Jets,0,San Jose Sharks,1,,
2014-01-23,Ottawa Senators,3,Tampa Bay Lightning,4,SO,
2014-01-23,Nashville Predators,2,Vancouver Canucks,1,,
2014-01-24,Ottawa Senators,,Carolina Hurricanes,,,Rescheduled to 2014-01-25 due to rescheduled 2014-01-22 game
2014-01-24,Nashville Predators,4,Calgary Flames,5,SO,
2014-01-24,Montreal Canadiens,1,Detroit Red Wings,4,,
2014-01-24,Phoenix Coyotes,4,Edmonton Oilers,3,,
2014-01-24,Colorado Avalanche,3,Florida Panthers,2,,
2014-01-24,Washington Capitals,1,New Jersey Devils,2,,
2014-01-25,Ottawa Senators,3,Carolina Hurricanes,6,,Make-up game for postponed 2014-01-24 game
2014-01-25,Buffalo Sabres,5,Columbus Blue Jackets,2,,
2014-01-25,Pittsburgh Penguins,0,Dallas Stars,3,,
2014-01-25,Anaheim Ducks,3,Los Angeles Kings,0,,NHL Stadium Series
2014-01-25,Washington Capitals,5,Montreal Canadiens,0,,
2014-01-25,St. Louis Blues,4,New York Islanders,3,SO,
2014-01-25,Boston Bruins,6,Philadelphia Flyers,1,,
2014-01-25,Minnesota Wild,2,San Jose Sharks,3,OT,
2014-01-25,Colorado Avalanche,2,Tampa Bay Lightning,5,,
2014-01-25,Toronto Maple Leafs,4,Winnipeg Jets,5,OT,
2014-01-26,Winnipeg Jets,3,Chicago Blackhawks,1,,
2014-01-26,Florida Panthers,5,Detroit Red Wings,4,SO,
2014-01-26,Nashville Predators,1,Edmonton Oilers,5,,
2014-01-26,New York Rangers,7,New Jersey Devils,3,,NHL Stadium Series
2014-01-26,Phoenix Coyotes,4,Vancouver Canucks,5,OT,
2014-01-27,Columbus Blue Jackets,2,Carolina Hurricanes,3,,
2014-01-27,Colorado Avalanche,4,Dallas Stars,3,,
2014-01-27,Boston Bruins,6,New York Islanders,3,,
2014-01-27,Buffalo Sabres,0,Pittsburgh Penguins,3,,
2014-01-27,Los Angeles Kings,1,San Jose Sharks,0,,
2014-01-27,Edmonton Oilers,4,Vancouver Canucks,2,,
2014-01-28,Minnesota Wild,4,Anaheim Ducks,2,,
2014-01-28,Florida Panthers,2,Boston Bruins,6,,
2014-01-28,Washington Capitals,5,Buffalo Sabres,4,OT,
2014-01-28,Ottawa Senators,3,Columbus Blue Jackets,2,,
2014-01-28,Chicago Blackhawks,4,Calgary Flames,5,OT,
2014-01-28,Carolina Hurricanes,0,Montreal Canadiens,3,,
2014-01-28,Detroit Red Wings,0,Philadelphia Flyers,5,,
2014-01-28,Los Angeles Kings,0,Phoenix Coyotes,3,,
2014-01-28,New Jersey Devils,0,St. Louis Blues,3,,
2014-01-28,Tampa Bay Lightning,2,Toronto Maple Leafs,3,,
2014-01-28,Nashville Predators,4,Winnipeg Jets,3,,
2014-01-29,San Jose Sharks,0,Edmonton Oilers,3,,
2014-01-29,New York Rangers,2,New York Islanders,1,,NHL Stadium Series
2014-01-29,Chicago Blackhawks,5,Vancouver Canucks,2,,
2014-01-30,Philadelphia Flyers,3,Anaheim Ducks,5,,
2014-01-30,Montreal Canadiens,4,Boston Bruins,1,,
2014-01-30,Washington Capitals,2,Columbus Blue Jackets,5,,
2014-01-30,San Jose Sharks,1,Calgary Flames,4,,
2014-01-30,Minnesota Wild,4,Colorado Avalanche,5,,
2014-01-30,New Jersey Devils,3,Dallas Stars,2,OT,
2014-01-30,Pittsburgh Penguins,4,Los Angeles Kings,1,,
2014-01-30,Tampa Bay Lightning,3,Ottawa Senators,5,,
2014-01-30,Buffalo Sabres,3,Phoenix Coyotes,2,,
2014-01-30,Florida Panthers,3,Toronto Maple Leafs,6,,
2014-01-31,St. Louis Blues,1,Carolina Hurricanes,3,,
2014-01-31,Washington Capitals,3,Detroit Red Wings,4,SO,
2014-01-31,New Jersey Devils,2,Nashville Predators,3,OT,
2014-01-31,New York Islanders,1,New York Rangers,4,,
2014-01-31,Vancouver Canucks,3,Winnipeg Jets,4,,
2014-02-01,Dallas Stars,2,Anaheim Ducks,0,,
2014-02-01,Edmonton Oilers,0,Boston Bruins,4,,
2014-02-01,Florida Panthers,1,Columbus Blue Jackets,4,,
2014-02-01,Minnesota Wild,3,Calgary Flames,4,OT,
2014-02-01,Buffalo Sabres,1,Colorado Avalanche,7,,
2014-02-01,Philadelphia Flyers,2,Los Angeles Kings,0,,
2014-02-01,Tampa Bay Lightning,2,Montreal Canadiens,1,OT,
2014-02-01,Pittsburgh Penguins,1,Phoenix Coyotes,3,,
2014-02-01,Chicago Blackhawks,1,San Jose Sharks,2,SO,
2014-02-01,Nashville Predators,3,St. Louis Blues,4,SO,
2014-02-01,Ottawa Senators,3,Toronto Maple Leafs,6,,
2014-02-02,Winnipeg Jets,2,Montreal Canadiens,1,,
2014-02-02,Detroit Red Wings,5,Washington Capitals,6,OT,
2014-02-03,Columbus Blue Jackets,4,Anaheim Ducks,2,,
2014-02-03,Edmonton Oilers,3,Buffalo Sabres,2,,
