Source: http://www.hockey-reference.com/leagues/NHL_2012_games.html
Date,Visitor,G,Home,G,,Notes
2011-10-13,Los Angeles Kings,1,New Jersey Devils,2,SO,
2011-10-13,Phoenix Coyotes,5,Nashville Predators,2,,
2011-10-13,Tampa Bay Lightning,1,New York Islanders,5,,
2011-10-13,Colorado Avalanche,7,Ottawa Senators,1,,
2011-10-13,Washington Capitals,3,Pittsburgh Penguins,2,OT,
2011-10-14,San Jose Sharks,0,Anaheim Ducks,1,,
2011-10-14,Carolina Hurricanes,4,Buffalo Sabres,3,,
2011-10-15,Boston Bruins,3,Chicago Blackhawks,2,SO,
2011-10-15,Columbus Blue Jackets,2,Dallas Stars,4,,
2011-10-15,Vancouver Canucks,4,Edmonton Oilers,3,,
2011-10-15,Tampa Bay Lightning,2,Florida Panthers,3,SO,
2011-10-15,Detroit Red Wings,3,Minnesota Wild,2,OT,
2011-10-15,Colorado Avalanche,6,Montreal Canadiens,5,SO,
2011-10-15,New Jersey Devils,3,Nashville Predators,2,SO,
2011-10-15,New York Rangers,2,New York Islanders,4,,
2011-10-15,Los Angeles Kings,3,Philadelphia Flyers,2,OT,
2011-10-15,Winnipeg Jets,1,Phoenix Coyotes,4,,
2011-10-15,Buffalo Sabres,3,Pittsburgh Penguins,2,,
2011-10-15,St. Louis Blues,4,San Jose Sharks,2,,
2011-10-15,Calgary Flames,2,Toronto Maple Leafs,3,,
2011-10-15,Ottawa Senators,1,Washington Capitals,2,,
2011-10-16,St. Louis Blues,2,Anaheim Ducks,4,,
2011-10-17,Nashville Predators,1,Edmonton Oilers,3,,
2011-10-17,Anaheim Ducks,3,San Jose Sharks,2,,
2011-10-17,Florida Panthers,7,Tampa Bay Lightning,4,,
2011-10-17,Colorado Avalanche,3,Toronto Maple Leafs,2,OT,
2011-10-17,Pittsburgh Penguins,1,Winnipeg Jets,2,,
2011-10-18,Carolina Hurricanes,4,Boston Bruins,1,,
2011-10-18,Dallas Stars,3,Columbus Blue Jackets,2,,
2011-10-18,Edmonton Oilers,1,Calgary Flames,2,,
2011-10-18,St. Louis Blues,0,Los Angeles Kings,5,,
2011-10-18,Pittsburgh Penguins,4,Minnesota Wild,2,,
2011-10-18,Buffalo Sabres,3,Montreal Canadiens,1,,
2011-10-18,Philadelphia Flyers,7,Ottawa Senators,2,,
2011-10-18,Chicago Blackhawks,5,Phoenix Coyotes,2,,
2011-10-18,New York Rangers,4,Vancouver Canucks,0,,
2011-10-18,Florida Panthers,0,Washington Capitals,3,,
2011-10-19,Winnipeg Jets,3,Toronto Maple Leafs,4,SO,
2011-10-20,Toronto Maple Leafs,2,Boston Bruins,6,,
2011-10-20,New York Rangers,3,Calgary Flames,2,OT,
2011-10-20,Chicago Blackhawks,3,Colorado Avalanche,1,,
2011-10-20,Minnesota Wild,2,Edmonton Oilers,1,SO,
2011-10-20,Buffalo Sabres,3,Florida Panthers,0,,
2011-10-20,Winnipeg Jets,1,Ottawa Senators,4,,
2011-10-20,Washington Capitals,5,Philadelphia Flyers,2,,
2011-10-20,Los Angeles Kings,2,Phoenix Coyotes,0,,
2011-10-20,Montreal Canadiens,1,Pittsburgh Penguins,3,,
2011-10-20,New York Islanders,1,Tampa Bay Lightning,4,,
2011-10-20,Nashville Predators,1,Vancouver Canucks,5,,
2011-10-21,Dallas Stars,3,Anaheim Ducks,1,,
2011-10-21,Columbus Blue Jackets,2,Detroit Red Wings,5,,
2011-10-21,San Jose Sharks,4,New Jersey Devils,3,SO,
2011-10-21,Carolina Hurricanes,2,St. Louis Blues,3,OT,
2011-10-22,San Jose Sharks,4,Boston Bruins,2,,
2011-10-22,Nashville Predators,2,Calgary Flames,0,,
2011-10-22,Colorado Avalanche,5,Chicago Blackhawks,4,SO,
2011-10-22,New York Rangers,0,Edmonton Oilers,2,,
2011-10-22,New York Islanders,2,Florida Panthers,4,,
2011-10-22,Dallas Stars,0,Los Angeles Kings,1,,
2011-10-22,Toronto Maple Leafs,5,Montreal Canadiens,4,OT,
2011-10-22,Columbus Blue Jackets,3,Ottawa Senators,4,,
2011-10-22,St. Louis Blues,4,Philadelphia Flyers,2,,
2011-10-22,New Jersey Devils,1,Pittsburgh Penguins,4,,
2011-10-22,Buffalo Sabres,0,Tampa Bay Lightning,3,,
2011-10-22,Minnesota Wild,2,Vancouver Canucks,3,OT,
2011-10-22,Carolina Hurricanes,3,Winnipeg Jets,5,,
2011-10-22,Detroit Red Wings,1,Washington Capitals,7,,
2011-10-23,Phoenix Coyotes,5,Anaheim Ducks,4,,
2011-10-24,Florida Panthers,2,Montreal Canadiens,1,,
2011-10-24,Toronto Maple Leafs,2,Philadelphia Flyers,4,,
2011-10-24,New York Rangers,2,Winnipeg Jets,1,,
2011-10-25,Tampa Bay Lightning,4,Buffalo Sabres,3,,
2011-10-25,Ottawa Senators,3,Carolina Hurricanes,2,SO,
2011-10-25,Detroit Red Wings,1,Columbus Blue Jackets,4,,
2011-10-25,Anaheim Ducks,2,Chicago Blackhawks,3,SO,
2011-10-25,Vancouver Canucks,2,Edmonton Oilers,3,,
2011-10-25,New Jersey Devils,3,Los Angeles Kings,0,,
2011-10-25,San Jose Sharks,3,Nashville Predators,1,,
2011-10-25,Pittsburgh Penguins,3,New York Islanders,0,,
2011-10-25,Dallas Stars,3,Phoenix Coyotes,2,SO,
2011-10-26,Colorado Avalanche,2,Calgary Flames,4,,
2011-10-26,Philadelphia Flyers,1,Montreal Canadiens,5,,
2011-10-26,St. Louis Blues,3,Vancouver Canucks,0,,
2011-10-27,Montreal Canadiens,2,Boston Bruins,1,,
2011-10-27,Columbus Blue Jackets,2,Buffalo Sabres,4,,
2011-10-27,Los Angeles Kings,5,Dallas Stars,3,,
2011-10-27,Washington Capitals,1,Edmonton Oilers,2,,
2011-10-27,Anaheim Ducks,3,Minnesota Wild,2,,
2011-10-27,Tampa Bay Lightning,3,Nashville Predators,5,,
2011-10-27,Toronto Maple Leafs,4,New York Rangers,2,,
2011-10-27,Florida Panthers,3,Ottawa Senators,4,,
2011-10-27,Winnipeg Jets,9,Philadelphia Flyers,8,,
2011-10-27,New Jersey Devils,3,Phoenix Coyotes,5,,
2011-10-27,New York Islanders,2,Pittsburgh Penguins,3,SO,
2011-10-28,Chicago Blackhawks,0,Carolina Hurricanes,3,,
2011-10-28,St. Louis Blues,1,Calgary Flames,3,,
2011-10-28,Edmonton Oilers,3,Colorado Avalanche,1,,
2011-10-28,San Jose Sharks,4,Detroit Red Wings,2,,
2011-10-29,Florida Panthers,3,Buffalo Sabres,2,,
2011-10-29,Columbus Blue Jackets,2,Chicago Blackhawks,5,,
2011-10-29,New Jersey Devils,1,Dallas Stars,3,,
2011-10-29,Detroit Red Wings,0,Minnesota Wild,1,,
2011-10-29,Boston Bruins,2,Montreal Canadiens,4,,
2011-10-29,Anaheim Ducks,0,Nashville Predators,3,,
2011-10-29,San Jose Sharks,3,New York Islanders,2,OT,
2011-10-29,Ottawa Senators,5,New York Rangers,4,SO,
2011-10-29,Carolina Hurricanes,1,Philadelphia Flyers,5,,
2011-10-29,Los Angeles Kings,2,Phoenix Coyotes,3,OT,
2011-10-29,Winnipeg Jets,0,Tampa Bay Lightning,1,,
2011-10-29,Pittsburgh Penguins,3,Toronto Maple Leafs,4,,
2011-10-29,Washington Capitals,4,Vancouver Canucks,7,,
2011-10-30,Anaheim Ducks,1,Columbus Blue Jackets,3,,
2011-10-30,Los Angeles Kings,2,Colorado Avalanche,3,,
2011-10-30,St. Louis Blues,2,Edmonton Oilers,4,,
2011-10-30,Toronto Maple Leafs,2,Ottawa Senators,3,,
2011-10-31,Nashville Predators,4,Chicago Blackhawks,5,OT,
2011-10-31,Winnipeg Jets,4,Florida Panthers,3,SO,
2011-10-31,San Jose Sharks,2,New York Rangers,5,,
2011-11-01,Ottawa Senators,3,Boston Bruins,5,,
2011-11-01,Tampa Bay Lightning,2,Carolina Hurricanes,4,,
2011-11-01,Vancouver Canucks,5,Calgary Flames,1,,
2011-11-01,Minnesota Wild,2,Detroit Red Wings,1,OT,
2011-11-01,Anaheim Ducks,4,Washington Capitals,5,OT,
2011-11-02,Philadelphia Flyers,3,Buffalo Sabres,2,,
2011-11-02,Phoenix Coyotes,4,Colorado Avalanche,1,,
2011-11-02,Toronto Maple Leafs,5,New Jersey Devils,3,,
2011-11-03,Toronto Maple Leafs,4,Columbus Blue Jackets,1,,
2011-11-03,Calgary Flames,4,Detroit Red Wings,1,,
2011-11-03,Chicago Blackhawks,3,Florida Panthers,2,SO,
2011-11-03,Edmonton Oilers,3,Los Angeles Kings,0,,
2011-11-03,Vancouver Canucks,1,Minnesota Wild,5,,
2011-11-03,Winnipeg Jets,3,New York Islanders,0,,
2011-11-03,Anaheim Ducks,1,New York Rangers,2,SO,
2011-11-03,New Jersey Devils,4,Philadelphia Flyers,3,SO,
2011-11-03,Nashville Predators,3,Phoenix Coyotes,0,,
2011-11-03,Pittsburgh Penguins,3,San Jose Sharks,4,SO,
2011-11-04,Calgary Flames,1,Buffalo Sabres,2,,
2011-11-04,Washington Capitals,5,Carolina Hurricanes,1,,
2011-11-04,Colorado Avalanche,6,Dallas Stars,7,OT,
2011-11-04,Montreal Canadiens,2,Ottawa Senators,1,,
2011-11-04,Vancouver Canucks,2,St. Louis Blues,3,,
2011-11-04,Chicago Blackhawks,4,Tampa Bay Lightning,5,OT,
2011-11-05,Anaheim Ducks,0,Detroit Red Wings,5,,
2011-11-05,Pittsburgh Penguins,3,Los Angeles Kings,2,SO,
2011-11-05,St. Louis Blues,1,Minnesota Wild,2,,
2011-11-05,Winnipeg Jets,2,New Jersey Devils,3,OT,
2011-11-05,Washington Capitals,3,New York Islanders,5,,
2011-11-05,Montreal Canadiens,3,New York Rangers,5,,
2011-11-05,Buffalo Sabres,3,Ottawa Senators,2,SO,
2011-11-05,Columbus Blue Jackets,2,Philadelphia Flyers,9,,
2011-11-05,Edmonton Oilers,2,Phoenix Coyotes,4,,
2011-11-05,Nashville Predators,4,San Jose Sharks,3,OT,
2011-11-05,Boston Bruins,7,Toronto Maple Leafs,0,,
2011-11-06,Dallas Stars,5,Carolina Hurricanes,2,,
2011-11-06,Vancouver Canucks,6,Chicago Blackhawks,2,,
2011-11-06,Calgary Flames,2,Colorado Avalanche,1,,
2011-11-06,Tampa Bay Lightning,4,Florida Panthers,3,SO,
2011-11-06,Winnipeg Jets,0,New York Rangers,3,,
2011-11-07,New York Islanders,2,Boston Bruins,6,,
2011-11-07,Los Angeles Kings,2,San Jose Sharks,4,,
2011-11-08,Winnipeg Jets,5,Buffalo Sabres,6,OT,
2011-11-08,Minnesota Wild,3,Calgary Flames,0,,
2011-11-08,Colorado Avalanche,2,Detroit Red Wings,5,,
2011-11-08,Nashville Predators,3,Los Angeles Kings,4,,
2011-11-08,Edmonton Oilers,3,Montreal Canadiens,1,,
2011-11-08,Carolina Hurricanes,2,New Jersey Devils,3,,
2011-11-08,Chicago Blackhawks,0,St. Louis Blues,3,,
2011-11-08,Florida Panthers,5,Toronto Maple Leafs,1,,
2011-11-08,Dallas Stars,5,Washington Capitals,2,,
2011-11-09,Nashville Predators,4,Anaheim Ducks,2,,
2011-11-09,New York Rangers,3,Ottawa Senators,2,,
2011-11-09,Philadelphia Flyers,1,Tampa Bay Lightning,2,OT,
2011-11-10,Edmonton Oilers,3,Boston Bruins,6,,
2011-11-10,Chicago Blackhawks,6,Columbus Blue Jackets,3,,
2011-11-10,New York Islanders,3,Colorado Avalanche,4,OT,
2011-11-10,Vancouver Canucks,3,Los Angeles Kings,2,,
2011-11-10,Montreal Canadiens,3,Phoenix Coyotes,2,OT,
2011-11-10,Minnesota Wild,1,San Jose Sharks,3,,
2011-11-10,Toronto Maple Leafs,3,St. Louis Blues,2,SO,
2011-11-10,Florida Panthers,5,Winnipeg Jets,2,,
2011-11-11,Vancouver Canucks,3,Anaheim Ducks,4,,
2011-11-11,Ottawa Senators,1,Buffalo Sabres,5,,
2011-11-11,Calgary Flames,1,Chicago Blackhawks,4,,
2011-11-11,Edmonton Oilers,0,Detroit Red Wings,3,,
2011-11-11,Washington Capitals,3,New Jersey Devils,1,,
2011-11-11,Carolina Hurricanes,1,New York Rangers,5,,
2011-11-11,Dallas Stars,1,Pittsburgh Penguins,3,,
2011-11-12,Buffalo Sabres,2,Boston Bruins,6,,
2011-11-12,Pittsburgh Penguins,3,Carolina Hurricanes,5,,
2011-11-12,Winnipeg Jets,1,Columbus Blue Jackets,2,,
2011-11-12,Calgary Flames,4,Colorado Avalanche,3,,
2011-11-12,Dallas Stars,2,Detroit Red Wings,5,,
2011-11-12,Minnesota Wild,2,Los Angeles Kings,5,,
2011-11-12,Montreal Canadiens,2,Nashville Predators,1,OT,
2011-11-12,Phoenix Coyotes,3,San Jose Sharks,0,,
2011-11-12,Tampa Bay Lightning,0,St. Louis Blues,3,,
2011-11-12,Ottawa Senators,5,Toronto Maple Leafs,2,,
2011-11-12,New Jersey Devils,3,Washington Capitals,2,SO,
2011-11-13,Minnesota Wild,3,Anaheim Ducks,2,,
2011-11-13,Edmonton Oilers,3,Chicago Blackhawks,6,,
2011-11-13,Philadelphia Flyers,3,Florida Panthers,2,,
2011-11-13,New York Islanders,1,Vancouver Canucks,4,,
2011-11-14,Philadelphia Flyers,5,Carolina Hurricanes,3,,
2011-11-14,Buffalo Sabres,3,Montreal Canadiens,2,SO,
2011-11-14,Tampa Bay Lightning,2,Winnipeg Jets,5,,
2011-11-15,New Jersey Devils,3,Boston Bruins,4,,
2011-11-15,Minnesota Wild,4,Columbus Blue Jackets,2,,
2011-11-15,Ottawa Senators,3,Calgary Flames,1,,
2011-11-15,Florida Panthers,6,Dallas Stars,0,,
2011-11-15,Washington Capitals,1,Nashville Predators,3,,
2011-11-15,New York Rangers,4,New York Islanders,2,,
2011-11-15,Colorado Avalanche,3,Pittsburgh Penguins,6,,
2011-11-15,Detroit Red Wings,1,St. Louis Blues,2,,
2011-11-15,Phoenix Coyotes,3,Toronto Maple Leafs,2,SO,
2011-11-16,New Jersey Devils,5,Buffalo Sabres,3,,
2011-11-16,Anaheim Ducks,1,Los Angeles Kings,2,SO,
2011-11-16,Carolina Hurricanes,0,Montreal Canadiens,4,,
2011-11-16,Chicago Blackhawks,5,Vancouver Canucks,1,,
2011-11-17,Los Angeles Kings,5,Anaheim Ducks,3,,
2011-11-17,Columbus Blue Jackets,1,Boston Bruins,2,SO,
2011-11-17,Ottawa Senators,5,Edmonton Oilers,2,,
2011-11-17,Colorado Avalanche,0,Minnesota Wild,1,,
2011-11-17,Toronto Maple Leafs,1,Nashville Predators,4,,
2011-11-17,Montreal Canadiens,3,New York Islanders,4,,
2011-11-17,Phoenix Coyotes,1,Philadelphia Flyers,2,,
2011-11-17,Detroit Red Wings,2,San Jose Sharks,5,,
2011-11-17,Florida Panthers,1,St. Louis Blues,4,,
2011-11-17,Pittsburgh Penguins,1,Tampa Bay Lightning,4,,
2011-11-17,Washington Capitals,1,Winnipeg Jets,4,,
2011-11-18,Buffalo Sabres,1,Carolina Hurricanes,0,,
2011-11-18,Chicago Blackhawks,2,Calgary Flames,5,,
2011-11-18,Dallas Stars,0,Colorado Avalanche,3,,
2011-11-19,Phoenix Coyotes,4,Buffalo Sabres,2,,
2011-11-19,San Jose Sharks,4,Dallas Stars,1,,
2011-11-19,Chicago Blackhawks,2,Edmonton Oilers,9,,
2011-11-19,Pittsburgh Penguins,2,Florida Panthers,3,,
2011-11-19,Detroit Red Wings,4,Los Angeles Kings,1,,
2011-11-19,St. Louis Blues,2,Minnesota Wild,3,SO,
2011-11-19,New York Rangers,0,Montreal Canadiens,4,,
2011-11-19,Columbus Blue Jackets,4,Nashville Predators,3,OT,
2011-11-19,Boston Bruins,6,New York Islanders,0,,
2011-11-19,New Jersey Devils,4,Tampa Bay Lightning,2,,
2011-11-19,Washington Capitals,1,Toronto Maple Leafs,7,,
2011-11-19,Philadelphia Flyers,4,Winnipeg Jets,6,,
2011-11-20,Detroit Red Wings,4,Anaheim Ducks,2,,
2011-11-20,Toronto Maple Leafs,2,Carolina Hurricanes,3,,
2011-11-20,San Jose Sharks,4,Colorado Avalanche,1,,
2011-11-20,Ottawa Senators,1,Vancouver Canucks,2,OT,
2011-11-21,Calgary Flames,1,Columbus Blue Jackets,4,,
2011-11-21,Edmonton Oilers,1,Dallas Stars,4,,
2011-11-21,New Jersey Devils,3,Florida Panthers,4,,
2011-11-21,Boston Bruins,1,Montreal Canadiens,0,,
2011-11-21,Carolina Hurricanes,4,Philadelphia Flyers,2,,
2011-11-21,New York Islanders,0,Pittsburgh Penguins,5,,
2011-11-21,Phoenix Coyotes,3,Washington Capitals,4,,
2011-11-22,Edmonton Oilers,6,Nashville Predators,2,,
2011-11-22,Los Angeles Kings,3,St. Louis Blues,2,,
2011-11-22,Toronto Maple Leafs,7,Tampa Bay Lightning,1,,
2011-11-23,Boston Bruins,4,Buffalo Sabres,3,SO,
2011-11-23,Montreal Canadiens,4,Carolina Hurricanes,3,SO,
2011-11-23,Vancouver Canucks,3,Colorado Avalanche,0,,
2011-11-23,Los Angeles Kings,2,Dallas Stars,3,OT,
2011-11-23,Calgary Flames,3,Detroit Red Wings,5,,
2011-11-23,New York Rangers,1,Florida Panthers,2,,
2011-11-23,Nashville Predators,2,Minnesota Wild,3,,
2011-11-23,Columbus Blue Jackets,1,New Jersey Devils,2,SO,
2011-11-23,Philadelphia Flyers,4,New York Islanders,3,OT,
2011-11-23,Anaheim Ducks,2,Phoenix Coyotes,4,,
2011-11-23,St. Louis Blues,3,Pittsburgh Penguins,2,OT,
2011-11-23,Chicago Blackhawks,0,San Jose Sharks,1,,
2011-11-23,Winnipeg Jets,3,Washington Capitals,4,OT,
2011-11-25,Chicago Blackhawks,6,Anaheim Ducks,5,,
2011-11-25,Detroit Red Wings,3,Boston Bruins,2,SO,
2011-11-25,Winnipeg Jets,3,Carolina Hurricanes,1,,
2011-11-25,Buffalo Sabres,1,Columbus Blue Jackets,5,,
2011-11-25,Toronto Maple Leafs,4,Dallas Stars,3,SO,
2011-11-25,Tampa Bay Lightning,2,Florida Panthers,1,OT,
2011-11-25,Edmonton Oilers,5,Minnesota Wild,2,,
2011-11-25,New Jersey Devils,1,New York Islanders,0,,
2011-11-25,Montreal Canadiens,1,Philadelphia Flyers,3,,
2011-11-25,Vancouver Canucks,5,Phoenix Coyotes,0,,
2011-11-25,Ottawa Senators,3,Pittsburgh Penguins,6,,
2011-11-25,Calgary Flames,0,St. Louis Blues,2,,
2011-11-25,New York Rangers,6,Washington Capitals,3,,
2011-11-26,Winnipeg Jets,2,Boston Bruins,4,,
2011-11-26,Washington Capitals,1,Buffalo Sabres,5,,
2011-11-26,Edmonton Oilers,2,Colorado Avalanche,5,,
2011-11-26,Nashville Predators,1,Detroit Red Wings,4,,
2011-11-26,Chicago Blackhawks,2,Los Angeles Kings,1,,
2011-11-26,Pittsburgh Penguins,4,Montreal Canadiens,3,OT,
2011-11-26,New York Islanders,3,New Jersey Devils,2,,
2011-11-26,Philadelphia Flyers,0,New York Rangers,2,,
2011-11-26,Dallas Stars,0,Phoenix Coyotes,3,,
2011-11-26,Vancouver Canucks,3,San Jose Sharks,2,,
2011-11-26,Florida Panthers,1,Tampa Bay Lightning,5,,
2011-11-27,Toronto Maple Leafs,5,Anaheim Ducks,2,,
2011-11-27,St. Louis Blues,2,Columbus Blue Jackets,1,,
2011-11-27,Calgary Flames,5,Minnesota Wild,2,,
2011-11-27,Carolina Hurricanes,3,Ottawa Senators,4,,
2011-11-28,Dallas Stars,3,Colorado Avalanche,1,,
2011-11-28,Nashville Predators,2,Edmonton Oilers,1,,
2011-11-28,San Jose Sharks,0,Los Angeles Kings,2,,
2011-11-28,Tampa Bay Lightning,1,Minnesota Wild,3,,
2011-11-29,New York Islanders,2,Buffalo Sabres,1,,
2011-11-29,Florida Panthers,3,Carolina Hurricanes,1,,
2011-11-29,Nashville Predators,0,Calgary Flames,1,,
2011-11-29,Phoenix Coyotes,4,Chicago Blackhawks,1,,
2011-11-29,Pittsburgh Penguins,3,New York Rangers,4,,
2011-11-29,Columbus Blue Jackets,1,Vancouver Canucks,4,,
2011-11-29,Ottawa Senators,6,Winnipeg Jets,4,,
2011-11-29,St. Louis Blues,2,Washington Capitals,1,,
2011-11-30,Montreal Canadiens,1,Anaheim Ducks,4,,
2011-11-30,New Jersey Devils,1,Colorado Avalanche,6,,
2011-11-30,Tampa Bay Lightning,2,Detroit Red Wings,4,,
2011-11-30,Minnesota Wild,3,Edmonton Oilers,2,SO,
2011-11-30,Boston Bruins,6,Toronto Maple Leafs,3,,
2011-12-01,New York Rangers,5,Carolina Hurricanes,3,,
2011-12-01,Columbus Blue Jackets,4,Calgary Flames,3,SO,
2011-12-01,Ottawa Senators,2,Dallas Stars,3,,
2011-12-01,Florida Panthers,1,Los Angeles Kings,2,,
2011-12-01,Montreal Canadiens,3,San Jose Sharks,4,SO,
2011-12-01,Nashville Predators,6,Vancouver Canucks,5,,
2011-12-01,Phoenix Coyotes,0,Winnipeg Jets,1,,
2011-12-01,Pittsburgh Penguins,2,Washington Capitals,1,,
2011-12-02,Philadelphia Flyers,4,Anaheim Ducks,3,OT,
2011-12-02,Detroit Red Wings,4,Buffalo Sabres,1,,
2011-12-02,New York Islanders,4,Chicago Blackhawks,5,SO,
2011-12-02,St. Louis Blues,2,Colorado Avalanche,3,SO,
2011-12-02,Columbus Blue Jackets,3,Edmonton Oilers,6,,
2011-12-02,New Jersey Devils,2,Minnesota Wild,4,,
2011-12-03,Toronto Maple Leafs,1,Boston Bruins,4,,
2011-12-03,Pittsburgh Penguins,3,Carolina Hurricanes,2,,
2011-12-03,New York Islanders,5,Dallas Stars,4,,
2011-12-03,Calgary Flames,5,Edmonton Oilers,3,,
2011-12-03,Montreal Canadiens,2,Los Angeles Kings,1,,
2011-12-03,Buffalo Sabres,3,Nashville Predators,2,,
2011-12-03,Philadelphia Flyers,4,Phoenix Coyotes,2,,
2011-12-03,Florida Panthers,5,San Jose Sharks,3,,
2011-12-03,Chicago Blackhawks,5,St. Louis Blues,2,,
2011-12-03,New York Rangers,4,Tampa Bay Lightning,2,,
2011-12-03,New Jersey Devils,2,Winnipeg Jets,4,,
2011-12-03,Ottawa Senators,2,Washington Capitals,3,OT,
2011-12-04,Minnesota Wild,5,Anaheim Ducks,3,,
2011-12-04,Detroit Red Wings,2,Colorado Avalanche,4,,
2011-12-04,Calgary Flames,1,Vancouver Canucks,5,,
2011-12-05,Phoenix Coyotes,4,Chicago Blackhawks,3,SO,
2011-12-05,Washington Capitals,4,Florida Panthers,5,,
2011-12-05,Toronto Maple Leafs,4,New York Rangers,2,,
2011-12-05,Tampa Bay Lightning,2,Ottawa Senators,4,,
2011-12-05,Boston Bruins,3,Pittsburgh Penguins,1,,
2011-12-06,Los Angeles Kings,2,Anaheim Ducks,3,,
2011-12-06,Carolina Hurricanes,6,Calgary Flames,7,,
2011-12-06,Columbus Blue Jackets,3,Montreal Canadiens,2,SO,
2011-12-06,Phoenix Coyotes,3,Nashville Predators,2,,
2011-12-06,Tampa Bay Lightning,1,New York Islanders,5,,
2011-12-06,Minnesota Wild,2,San Jose Sharks,1,,
2011-12-06,Detroit Red Wings,2,St. Louis Blues,3,,
2011-12-06,New Jersey Devils,3,Toronto Maple Leafs,2,OT,
2011-12-06,Colorado Avalanche,0,Vancouver Canucks,6,,
2011-12-06,Boston Bruins,1,Winnipeg Jets,2,,
2011-12-07,Philadelphia Flyers,5,Buffalo Sabres,4,OT,
2011-12-07,Carolina Hurricanes,5,Edmonton Oilers,3,,
2011-12-07,Washington Capitals,5,Ottawa Senators,3,,
2011-12-08,Florida Panthers,2,Boston Bruins,0,,
2011-12-08,Nashville Predators,4,Columbus Blue Jackets,3,OT,
2011-12-08,Colorado Avalanche,2,Calgary Flames,3,,
2011-12-08,Phoenix Coyotes,2,Detroit Red Wings,5,,
2011-12-08,Minnesota Wild,4,Los Angeles Kings,2,,
2011-12-08,Vancouver Canucks,4,Montreal Canadiens,3,SO,
2011-12-08,Ottawa Senators,4,New Jersey Devils,5,SO,
2011-12-08,Chicago Blackhawks,3,New York Islanders,2,OT,
2011-12-08,Tampa Bay Lightning,3,New York Rangers,2,SO,
2011-12-08,Pittsburgh Penguins,2,Philadelphia Flyers,3,,
2011-12-08,Dallas Stars,2,San Jose Sharks,5,,
2011-12-08,Anaheim Ducks,2,St. Louis Blues,4,,
2011-12-09,Florida Panthers,1,Buffalo Sabres,2,OT,
2011-12-09,Colorado Avalanche,1,Edmonton Oilers,4,,
2011-12-09,Carolina Hurricanes,2,Winnipeg Jets,4,,
2011-12-09,Toronto Maple Leafs,2,Washington Capitals,4,,
2011-12-10,New York Rangers,4,Buffalo Sabres,1,,
2011-12-10,Boston Bruins,5,Columbus Blue Jackets,3,,
2011-12-10,Edmonton Oilers,0,Calgary Flames,3,,
