Source: http://www.hockey-reference.com/leagues/NHL_2012_games.html
Date,Visitor,G,Home,G,,Notes
2011-10-06,Philadelphia Flyers,2,Boston Bruins,1,,
2011-10-06,Montreal Canadiens,0,Toronto Maple Leafs,2,,
2011-10-06,Pittsburgh Penguins,4,Vancouver Canucks,3,SO,
2011-10-07,Anaheim Ducks,1,Buffalo Sabres,4,,at Helsinki FI
2011-10-07,Tampa Bay Lightning,5,Carolina Hurricanes,1,,
2011-10-07,Nashville Predators,3,Columbus Blue Jackets,2,,
2011-10-07,Chicago Blackhawks,1,Dallas Stars,2,,
2011-10-07,Ottawa Senators,3,Detroit Red Wings,5,,
2011-10-07,New York Rangers,2,Los Angeles Kings,3,OT,at Stockholm SE
2011-10-08,New York Rangers,1,Anaheim Ducks,2,SO,at Stockholm SE
2011-10-08,Tampa Bay Lightning,1,Boston Bruins,4,,
2011-10-08,Pittsburgh Penguins,5,Calgary Flames,3,,
2011-10-08,Dallas Stars,2,Chicago Blackhawks,5,,
2011-10-08,Detroit Red Wings,3,Colorado Avalanche,0,,
2011-10-08,Buffalo Sabres,4,Los Angeles Kings,2,,at Berlin DE
2011-10-08,Columbus Blue Jackets,2,Minnesota Wild,4,,
2011-10-08,Philadelphia Flyers,3,New Jersey Devils,0,,
2011-10-08,Florida Panthers,2,New York Islanders,0,,
2011-10-08,Phoenix Coyotes,3,San Jose Sharks,6,,
2011-10-08,Nashville Predators,4,St. Louis Blues,2,,
2011-10-08,Ottawa Senators,5,Toronto Maple Leafs,6,,
2011-10-08,Carolina Hurricanes,3,Washington Capitals,4,OT,
2011-10-09,Pittsburgh Penguins,1,Edmonton Oilers,2,SO,
2011-10-09,Montreal Canadiens,5,Winnipeg Jets,1,,
2011-10-10,Colorado Avalanche,1,Boston Bruins,0,,
2011-10-10,Vancouver Canucks,3,Columbus Blue Jackets,2,,
2011-10-10,Phoenix Coyotes,1,Dallas Stars,2,SO,
2011-10-10,Carolina Hurricanes,2,New Jersey Devils,4,,
2011-10-10,Minnesota Wild,1,New York Islanders,2,,
2011-10-10,Calgary Flames,2,St. Louis Blues,5,,
2011-10-10,Tampa Bay Lightning,5,Washington Capitals,6,SO,
2011-10-11,Minnesota Wild,3,Ottawa Senators,4,SO,
2011-10-11,Florida Panthers,2,Pittsburgh Penguins,4,,
2011-10-12,Boston Bruins,2,Carolina Hurricanes,3,,
2011-10-12,Colorado Avalanche,3,Columbus Blue Jackets,2,SO,
2011-10-12,Vancouver Canucks,4,Philadelphia Flyers,5,,
2011-10-13,Winnipeg Jets,3,Chicago Blackhawks,4,,
2011-10-13,St. Louis Blues,2,Dallas Stars,3,,
2011-10-13,Vancouver Canucks,0,Detroit Red Wings,2,,
2011-10-13,Edmonton Oilers,1,Minnesota Wild,2,SO,
2011-10-13,Calgary Flames,4,Montreal Canadiens,1,,
